iupac,log_solubility_mols_per_litre,smiles
Amigdalin,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
Fenfuram,-3.3,Cc1occc1C(=O)Nc2ccccc2
citral,-2.06,CC(C)=CCCC(C)=CC(=O)
Picene,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
Thiophene,-1.33,c1ccsc1
benzothiazole,-1.5,c2ccc1scnc1c2 
"2,2,4,6,6'-PCB",-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
Estradiol,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
Dieldrin,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Rotenone,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
2-pyrrolidone,1.07,O=C1CCCN1
2-Chloronapthalene,-4.14,Clc1ccc2ccccc2c1
1-Pentene ,-2.68,CCCC=C
Primidone,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2
Tetradecane,-7.96,CCCCCCCCCCCCCC
2-Chloropropane,-1.41,CC(C)Cl
2-Methylbutanol,-0.47,CCC(C)CO
Benzonitrile,-1,N#Cc1ccccc1
Diazinon,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
2-Undecanol,-2.94,CCCCCCCCCC(C)O
"2,2',3,4,6-PCB",-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
Lenacil,-4.594,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
Phorate,-4.11,CCOP(=S)(OCC)SCSCC
Phenacetin,-2.35,CCOc1ccc(NC(=O)C)cc1
Dinitramine,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
1-Heptanol,-1.81,CCCCCCCO
Theophylline,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O
Butethal,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
"P,P'-DDE",-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
Methyl octanoate,-3.17,CCCCCCCC(=O)OC
"1,4-Diethylbenzene ",-3.75,CCc1ccc(CC)cc1
Terbufos,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
Phenmedipham,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
"1,1-Dichloroethylene",-1.64,ClC(=C)Cl
1-Methylfluorene,-5.22,Cc1cccc2c1Cc3ccccc32
Valeraldehyde,-0.85,CCCCC=O
Diphenylamine,-3.504,N(c1ccccc1)c2ccccc2
Fenothiocarb,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
Piperophos,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
1-Iodoheptane,-4.81,CCCCCCCI
3-Chlorobiphenyl,-4.88,c1c(Cl)cccc1c2ccccc2
4-Pentene-1-ol,-0.15,OCCCC=C
Cyclobutyl-5-spirobarbituric acid,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2
menthol,-2.53,CC(C)C1CCC(C)CC1O 
Isopropyl formate,-0.63,CC(C)OC=O
2-Heptanol ,-1.55,CCCCCC(C)O
p-Bromoacetanilide,-3.083,CC(=O)Nc1ccc(Br)cc1
brompyrazone,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O)
nifedipine,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
