compound,rt,inchi
PHENAZINE,2.0,InChI=1S/C12H8N2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H
PHENANTHRIDINE,1.7,InChI=1S/C13H9N/c1-2-6-11-10(5-1)9-14-13-8-4-3-7-12(11)13/h1-9H
2-chloropyridine,1.4,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H
N-METHYLPYRROLE,1.4,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3"
N_N-DIMETHYLANILINE,2.0,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3"
N-Ethylbenzylamin,2.0,"InChI=1S/C9H13N/c1-2-10-8-9-6-4-3-5-7-9/h3-7,10H,2,8H2,1H3"
ISOQUINOLINE,2.0,InChI=1S/C9H7N/c1-2-4-9-7-10-6-5-8(9)3-1/h1-7H
2-Cyano-3-methylpyridine,2.0,"InChI=1S/C7H6N2/c1-6-3-2-4-9-7(6)5-8/h2-4H,1H3"
2-chlorobenzonitrile,1.4,InChI=1S/C7H4ClN/c8-7-4-2-1-3-6(7)5-9/h1-4H
PIPERIDINE,2.1,"InChI=1/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2"
1-HEXYLAMINE,1.7,"InChI=1/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3"
Benzimidazole,2.0,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)"
2-methylimidazole,2.0,"InChI=1S/C4H6N2/c1-4-5-2-3-6-4/h2-3H,1H3,(H,5,6)"
Myclobutanil,1.9,"InChI=1S/C15H17ClN4/c1-2-3-8-15(9-17,10-20-12-18-11-19-20)13-4-6-14(16)7-5-13/h4-7,11-12H,2-3,8,10H2,1H3"
2_4DICHLORO_ANILINE,1.4,"InChI=1S/C6H5Cl2N/c7-4-1-2-6(9)5(8)3-4/h1-3H,9H2"
BENZONITRILE,1.4,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H
indazole,2.0,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)5-8-9-7/h1-5H,(H,8,9)"
PYRAZINE,1.4,InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H
1-naphthonitrile,1.4,InChI=1S/C11H7N/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H
4-amino-2-chloropyridine,1.9,"InChI=1S/C5H5ClN2/c6-5-3-4(7)1-2-8-5/h1-3H,(H2,7,8)"
ANILINE,2.0,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
1-Octadecylamine,1.6,"InChI=1S/C18H39N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h2-19H2,1H3"
1-NAPHTHYLAMINE,2.0,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2"
Penconazole,1.9,"InChI=1S/C13H15Cl2N3/c1-2-3-10(7-18-9-16-8-17-18)12-5-4-11(14)6-13(12)15/h4-6,8-10H,2-3,7H2,1H3"
2-chloro-3-cyanopyridine,1.7,InChI=1S/C6H3ClN2/c7-6-5(4-8)2-1-3-9-6/h1-3H
1-decylamine,1.6,"InChI=1S/C10H23N/c1-2-3-4-5-6-7-8-9-10-11/h2-11H2,1H3"
PYRIDINE,2.0,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H
INDOLE,1.4,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
3-aminobenzonitril,2.1,"InChI=1S/C7H6N2/c8-5-6-2-1-3-7(9)4-6/h1-4H,9H2"
BENZYLAMINE,2.0,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2"
2-METHYLINDOLE,2.1,"InChI=1S/C9H9N/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6,10H,1H3"
BETA-PHENYL-ETHYLAMINE,2.0,"InChI=1S/C8H11N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6-7,9H2"
QUINOLINE,2.0,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H
P-CHLOROANILINE,2.1,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2"
Tribenzylamine,1.6,"InChI=1S/C21H21N/c1-4-10-19(11-5-1)16-22(17-20-12-6-2-7-13-20)18-21-14-8-3-9-15-21/h1-15H,16-18H2"
