compound,rt,inchi
(DL)-p-hydroxyphenyllactic acid,1.5443500000000001,"InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)"
(R)-2-hydroxybutyric acid,1.3994,"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)"
1-O-1'-(Z)-octadecenyl-2-hydroxy-sn-glycero-3-phosphocholine (LysoPC(P-18:0)),4.947716666700001,"InChI=1S/C26H54NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-24-26(28)25-33-34(29,30)32-23-21-27(2,3)4/h20,22,26,28H,5-19,21,23-25H2,1-4H3"
2-Hydroxy-2-methylbutyric acid,1.6257833332999998,"InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)"
2-Hydroxy-3-methylbutyric acid,1.6854666667000002,"InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)"
2-methylacetoacetic acid,1.6128500000000001,"InChI=1S/C5H8O3/c1-3(4(2)6)5(7)8/h3H,1-2H3,(H,7,8)"
2-Oxo-3-methylpentanoic acid,1.8646166667000001,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)"
2-Oxo-4-methylpentanoic acid,1.9904833332999998,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)"
2-Oxovaleric acid,1.6190333332999998,"InChI=1S/C5H8O3/c1-2-3-4(6)5(7)8/h2-3H2,1H3,(H,7,8)"
20-beta-Hydroxy-5-alpha-pregnan-3-one,4.33025,"InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-14,16-19,22H,4-12H2,1-3H3"
3-Hydroxy-2-methylbutyric acid,1.5108333333,"InChI=1S/C5H10O3/c1-3(4(2)6)5(7)8/h3-4,6H,1-2H3,(H,7,8)"
3-hydroxy-3-methyl butanoic acid,1.4409999999999998,"InChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)"
"3,4-dihydroxyhydrocinnamic acid",1.6857166667,"InChI=1S/C9H10O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1,3,5,10-11H,2,4H2,(H,12,13)"
"3,4-dihydroxyphenyl glycol",1.0154166667,"InChI=1S/C8H10O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8-12H,4H2"
4-Aminophenyl hydrogen sulfate,0.641,"InChI=1S/C6H7NO4S/c7-5-1-3-6(4-2-5)11-12(8,9)10/h1-4H,7H2,(H,8,9,10)"
alpha-hydroxyisobutyric acid,1.3960499999999998,"InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)"
Alpha-ketoisovaleric acid,1.4464166667,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)"
Azelaoyl PAF 10 ug/ml,4.856216666700001,"InChI=1S/C33H66NO9P/c1-5-6-7-8-9-10-11-12-13-14-15-16-20-23-27-40-29-31(30-42-44(38,39)41-28-26-34(2,3)4)43-33(37)25-22-19-17-18-21-24-32(35)36/h31H,5-30H2,1-4H3,(H-,35,36,38,39)"
beta-hydroxyisobutyric acid,1.39625,"InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)"
Cafestol (10x dilute),3.1884166667000002,InChI=1S/CS/c1-2
Cyclic(pro-thr),1.3674833333,"InChI=1S/C9H14N2O3/c1-5(12)7-9(14)11-4-2-3-6(11)8(13)10-7/h5-7,12H,2-4H2,1H3,(H,10,13)"
