compound_name,retention_time,smiles,split_index
Withanone,6.82,CC(C1CC(C)=C(C)C(=O)O1)C2(O)CCC3C4C5OC5C6(O)CC=CC(=O)C6(C)C4CCC23C,1
Corosolic acid,9.89,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1C)C(O)=O,1
Maslinic acid,9.77,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC34C)C2C1)C(O)=O,1
Soyasapogenol A,8.94,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(O)C1O,1
Ginsenoside Rh3,7.63,CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC3C4(C)CCC(OC5OC(CO)C(O)C(O)C5O)C(C)(C)C4CCC23C,1
Ginsenoside compound K,9.51,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5CCC34C,1
Ginsenoside F1,6.59,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C2CCC3(C)C2C(O)CC4C5(C)CCC(O)C(C)(C)C5C(O)CC34C,1
alpha-Hederin,7.96,CC1OC(OC2C(O)C(O)COC2OC3CCC4(C)C(CCC5(C)C4CC=C6C7CC(C)(C)CCC7(CCC56C)C(O)=O)C3(C)CO)C(O)C(O)C1O,1
Ginsenoside Rg5,9.63,CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC3C4(C)CCC(OC5OC(CO)C(O)C(O)C5OC6OC(CO)C(O)C(O)C6O)C(C)(C)C4CCC23C,1
Ginsenoside F3,6.11,CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C3CCC4(C)C3C(O)CC5C6(C)CCC(O)C(C)(C)C6C(O)CC45C,1
Ginsenoside Rb2,6.14,CC(C)=CCCC(C)(OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O)C3CCC4(C)C3C(O)CC5C6(C)CCC(OC7OC(CO)C(O)C(O)C7OC8OC(CO)C(O)C(O)C8O)C(C)(C)C6CCC45C,1
Saikosaponin D,8.25,CC1OC(OC2CCC3(C)C(CCC4(C)C3C=CC56OCC7(CCC(C)(C)CC57)C(O)CC46C)C2(C)CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C1O,1
Licoricesaponin H2,7.03,CC1(C)C(CCC2(C)C1CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC34C)C(O)=O)OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O,1
Ginsenoside Ro,6.18,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC7OC(CO)C(O)C(O)C7O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC8OC(CO)C(O)C(O)C8O,1
Asiaticoside,5.21,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC34C)C2C1C)C(=O)OC6OC(COC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O,1
Madecassoside,4.88,CC1CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5C(O)CC34C)C2C1C)C(=O)OC6OC(COC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O,1
