compound,rt,inchi
Luteolin-7-O-glucoside,11.151667,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1"
Embinin,12.701666999999999,"InChI=1S/C29H34O14/c1-11-21(32)24(35)26(37)29(40-11)43-28-25(36)22(33)18(10-30)42-27(28)20-16(39-3)9-17-19(23(20)34)14(31)8-15(41-17)12-4-6-13(38-2)7-5-12/h4-9,11,18,21-22,24-30,32-37H,10H2,1-3H3/t11-,18+,21-,22+,24+,25-,26+,27-,28+,29-/m0/s1"
Amentoflavone,16.118333,"InChI=1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H"
Bergenin,6.930783,"InChI=1S/C14H16O9/c1-21-11-5(16)2-4-7(9(11)18)12-13(23-14(4)20)10(19)8(17)6(3-15)22-12/h2,6,8,10,12-13,15-19H,3H2,1H3/t6-,8-,10+,12+,13-/m1/s1"
3'_4'_5_7-Tetramethylquercetin,20.351667,"InChI=1S/C19H18O7/c1-22-11-8-14(25-4)16-15(9-11)26-19(18(21)17(16)20)10-5-6-12(23-2)13(7-10)24-3/h5-9,21H,1-4H3"
Chrysoeriol,16.701667,"InChI=1S/C16H12O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-7,17-19H,1H3"
Cirsiliol,17.301667,"InChI=1S/C17H14O7/c1-22-14-7-13-15(16(21)17(14)23-2)11(20)6-12(24-13)8-3-4-9(18)10(19)5-8/h3-7,18-19,21H,1-2H3"
Diosmetin,15.314117,"InChI=1S/C16H12O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-7,17-19H,1H3"
Baicalein_trimethyl_ether,20.676667,"InChI=1S/C18H16O5/c1-20-15-10-14-16(18(22-3)17(15)21-2)12(19)9-13(23-14)11-7-5-4-6-8-11/h4-10H,1-3H3"
Flavocommelin,4.86,"InChI=1S/C28H32O15/c1-39-14-7-15-18(22(34)19(14)27-25(37)23(35)20(32)16(8-29)42-27)12(31)6-13(41-15)10-2-4-11(5-3-10)40-28-26(38)24(36)21(33)17(9-30)43-28/h2-7,16-17,20-21,23-30,32-38H,8-9H2,1H3/t16-,17-,20-,21-,23+,24+,25-,26-,27+,28-/m1/s1"
Luteolin,14.539117,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H"
Hederagenin,24.972450000000002,"InChI=1S/C30H48O4/c1-25(2)13-15-30(24(33)34)16-14-28(5)19(20(30)17-25)7-8-22-26(3)11-10-23(32)27(4,18-31)21(26)9-12-29(22,28)6/h7,20-23,31-32H,8-18H2,1-6H3,(H,33,34)/t20-,21+,22+,23-,26-,27-,28+,29+,30-/m0/s1"
Genistein,16.343333,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H"
4'_5-dihydroxy-7-methoxyflavone,20.526666999999996,"InChI=1/C16H14O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-7,14,17-18H,8H2,1H3/t14-/m0/s1"
Liquiritin,10.84745,"InChI=1S/C21H22O9/c22-9-17-18(25)19(26)20(27)21(30-17)28-12-4-1-10(2-5-12)15-8-14(24)13-6-3-11(23)7-16(13)29-15/h1-7,15,17-23,25-27H,8-9H2/t15-,17+,18+,19-,20+,21+/m0/s1"
Myricetin,12.930783,"InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H"
Isoquercitrin,11.5255,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1"
Hydrangenol,19.32245,"InChI=1S/C15H12O4/c16-11-6-4-9(5-7-11)13-8-10-2-1-3-12(17)14(10)15(18)19-13/h1-7,13,16-17H,8H2/t13-/m1/s1"
apigenin-7-O-glucoside,11.84745,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21-/m1/s1"
Icariin,14.788816999999998,"InChI=1S/C33H40O15/c1-13(2)5-10-17-19(45-33-28(42)26(40)23(37)20(12-34)46-33)11-18(35)21-24(38)31(48-32-27(41)25(39)22(36)14(3)44-32)29(47-30(17)21)15-6-8-16(43-4)9-7-15/h5-9,11,14,20,22-23,25-28,32-37,39-42H,10,12H2,1-4H3/t14-,20+,22-,23+,25+,26-,27+,28+,32-,33+/m0/s1"
Iristectorin_A,12.626667,"InChI=1S/C23H24O12/c1-31-12-4-3-9(5-11(12)25)10-8-33-13-6-14(22(32-2)19(28)16(13)17(10)26)34-23-21(30)20(29)18(27)15(7-24)35-23/h3-6,8,15,18,20-21,23-25,27-30H,7H2,1-2H3/t15-,18-,20+,21-,23-/m1/s1"
3'-METHOXY-4'_5_7-TRIHYDROXYFLAVONOL,17.035,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3"
Juglanin,12.793332999999999,"InChI=1S/C20H18O10/c21-7-13-15(25)17(27)20(29-13)30-19-16(26)14-11(24)5-10(23)6-12(14)28-18(19)8-1-3-9(22)4-2-8/h1-6,13,15,17,20-25,27H,7H2/t13-,15-,17+,20-/m0/s1"
Isoquercitrin,10.818332999999999,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18+,21-/m0/s1"
Iridin,12.776667,"InChI=1S/C24H26O13/c1-32-13-5-9(4-11(26)22(13)33-2)10-8-35-12-6-14(23(34-3)19(29)16(12)17(10)27)36-24-21(31)20(30)18(28)15(7-25)37-24/h4-6,8,15,18,20-21,24-26,28-31H,7H2,1-3H3/t15-,18-,20+,21-,24-/m1/s1"
Kaempferol-3_7-O-bis-alpha-L-rhamnoside,11.126667,"InChI=1S/C27H30O14/c1-9-17(30)20(33)22(35)26(37-9)39-13-7-14(29)16-15(8-13)40-24(11-3-5-12(28)6-4-11)25(19(16)32)41-27-23(36)21(34)18(31)10(2)38-27/h3-10,17-18,20-23,26-31,33-36H,1-2H3/t9-,10-,17-,18-,20+,21+,22+,23+,26-,27-/m0/s1"
4'_5_7-TRIHYDROXYFLAVONOL,16.655783,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H"
Kaempferol_3-O-neohesperidoside,10.743333,"InChI=1S/C27H30O15/c1-9-17(32)20(35)22(37)26(38-9)42-25-21(36)18(33)15(8-28)40-27(25)41-24-19(34)16-13(31)6-12(30)7-14(16)39-23(24)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-22,25-33,35-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,25+,26-,27-/m0/s1"
Acacetin-7-O-neohesperidoside,13.563567,"InChI=1/C28H32O14/c1-11-21(32)23(34)25(36)27(38-11)42-26-24(35)22(33)19(10-29)41-28(26)39-14-7-15(30)20-16(31)9-17(40-18(20)8-14)12-3-5-13(37-2)6-4-12/h3-9,11,19,21-30,32-36H,10H2,1-2H3/t11-,19+,21-,22+,23+,24-,25+,26+,27-,28+/m0/s1"
Hispidulin_acetate,21.795,"InChI=1S/C22H18O9/c1-11(23)28-15-7-5-14(6-8-15)17-9-16(26)20-18(31-17)10-19(29-12(2)24)21(27-4)22(20)30-13(3)25/h5-10H,1-4H3"
Salvigenin,23.393333000000002,"InChI=1S/C18H16O6/c1-21-11-6-4-10(5-7-11)13-8-12(19)16-14(24-13)9-15(22-2)18(23-3)17(16)20/h4-9,20H,1-3H3"
Rutin,10.243333,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1"
